"id_bloqueio_cliente","id_cliente","id_tipo_bloqueio_cliente","dt_bloqueio","dt_desbloqueio","fl_liberado","dt_vencimento_fatura"
64861,20341,2,2022-08-13,2022-08-26,S,2022-08-10
61922,20341,2,2022-06-13,2022-07-07,S,2022-06-10
79738,20370,3,2023-06-13,,N,
73823,20370,2,2023-02-13,2023-02-27,S,2023-02-10
70879,20370,2,2022-12-13,2022-12-21,S,2022-12-10
76561,20370,2,2023-04-13,2023-06-13,S,2023-04-10
58189,20430,9,2022-03-20,2022-05-13,S,2022-03-10
55578,20430,2,2021-12-20,2021-12-22,S,2021-12-10
60919,20430,3,2022-05-13,2022-12-30,S,
71799,20430,5,2022-12-30,,N,
67924,20443,3,2022-10-13,,N,
64862,20443,9,2022-08-13,2022-10-13,S,2022-08-10
61934,20443,2,2022-06-13,2022-07-15,S,2022-06-10
60043,20499,2,2022-04-28,2022-06-04,S,2022-04-25
65793,20499,3,2022-08-28,,N,
63051,20499,9,2022-06-28,2022-08-28,S,2022-06-25
61251,20506,9,2022-05-23,2022-07-23,S,2022-05-20
64125,20506,3,2022-07-23,,N,
81791,20519,2,2023-07-28,2023-08-02,S,2023-07-25
80290,20519,2,2023-06-28,2023-07-07,S,2023-06-25
78966,20519,2,2023-05-28,2023-06-07,S,2023-05-25
75992,20519,2,2023-03-28,2023-04-24,S,2023-03-25
73152,20519,2,2023-01-28,2023-02-17,S,2023-01-25
71558,20519,2,2022-12-28,2022-12-30,S,2022-12-25
59384,20525,3,2022-04-13,,N,
56552,20525,9,2022-01-20,2022-04-13,S,2022-01-10
58935,20600,9,2022-04-08,2022-06-08,S,2022-04-05
61839,20600,3,2022-06-08,,N,
58025,20600,2,2022-03-15,2022-03-17,S,2022-03-05
56322,20600,2,2022-01-15,2022-01-22,S,2022-01-05
65842,20611,2,2022-09-04,2022-09-09,S,2022-09-01
77296,20658,2,2023-04-23,2023-06-23,S,2023-04-20
80216,20658,3,2023-06-23,,N,
61805,20662,2,2022-06-08,2022-07-05,S,2022-06-05
60464,20662,2,2022-05-08,2022-05-10,S,2022-05-05
53183,20662,2,2021-09-15,2021-10-05,S,2021-09-05
65888,20662,2,2022-09-08,2022-11-08,S,2022-09-05
68864,20662,3,2022-11-08,,N,
54536,20739,9,2021-11-04,2022-01-04,S,2021-10-25
56250,20739,3,2022-01-04,,N,
70415,20768,3,2022-12-08,,N,
67374,20768,2,2022-10-08,2022-12-08,S,2022-10-05
53172,20809,5,2021-09-13,,N,
50010,20809,3,2021-04-20,2021-09-13,S,
48493,20809,9,2021-02-20,2021-04-20,S,2021-02-10
63458,20812,2,2022-07-13,2022-07-14,S,2022-07-10
67538,20812,2,2022-10-13,2022-10-14,S,2022-10-10
61936,20812,2,2022-06-13,2022-06-18,S,2022-06-10
53271,20825,9,2021-09-20,2021-11-20,S,2021-09-10
54939,20825,3,2021-11-20,,N,
52040,20825,2,2021-07-20,2021-08-02,S,2021-07-10
70882,20867,2,2022-12-13,2023-02-13,S,2022-12-10
73927,20867,3,2023-02-13,,N,
